TIME,30.0463,30.3998,30.7617,31.1323,31.512,31.901,32.2998,32.7087,33.128,33.5582,33.9998,34.4531,34.9187,35.397,35.8887,36.3941,36.9141,37.449,37.9998,38.5669,39.1513,39.7536,40.3748,41.0156,41.6772,42.3604,43.0664,43.7963,44.5515,45.3331,46.1426,46.9815,47.8516,48.7544,49.692,50.6664,51.6797,52.7344,53.833,54.9784,56.1736,57.4219,58.7269,60.0927,61.5234,63.024,64.5996,66.256,67.9996,69.8374,71.7773,73.8281,75.9995,78.3026,80.7495,83.3543,86.1328,89.1029,92.2852,95.7031,99.384,103.359,107.666,112.347,117.454,123.047,129.199,135.999,143.555,151.999,161.499,172.266,184.57,198.768,215.332,234.908,258.398,287.109,322.998,369.141,430.664
0.000000000,0.0016168,0.00513909,0.00841958,0.00357902,0.00415843,0.0170532,0.0232645,0.0106605,0.0047335,0.00385718,0.00220722,0.00984413,0.00686681,0.00305793,0.010869,0.0113643,0.0108256,0.0152565,0.0107751,0.00405529,0.0014202,0.00585488,0.0050432,0.00203439,0.00411118,0.0165315,0.0323665,0.0112941,0.00203791,0.000713642,0.000971143,0.00207506,0.00187079,0.00179048,0.00362752,0.00888212,0.0116715,0.0186789,0.0182339,0.0052655,0.0021482,0.00458416,0.00477315,0.00182906,0.00467536,0.0217769,0.0322287,0.0168876,0.00352535,0.00134336,0.00222207,0.00890578,0.0011781,0.000470008,0.00333496,0.0118112,0.0152128,0.020086,0.0175782,0.00328537,0.000596671,0.00140028,0.00104979,0.000759457,0.00258255,0.0214032,0.0389038,0.0337328,0.00606916,0.000775022,0.0010167,0.00212437,0.00256769,0.00133345,0.0057344,0.0110911,0.0127363,0.0101285,0.00244815,0.000353337,0.000753377
1.486077098,0.00212007,0.00513909,0.00841958,0.00357902,0.0152991,0.0667656,0.0747534,0.0177695,0.00473605,0.00436925,0.00340176,0.0107699,0.00702056,0.00307773,0.010869,0.0113715,0.010831,0.0157998,0.0130393,0.00609181,0.00186897,0.025946,0.034958,0.00768707,0.0041124,0.0165768,0.0324976,0.0113902,0.00203791,0.0119412,0.0429823,0.028496,0.00750203,0.0111393,0.0104745,0.00975908,0.0116745,0.0186836,0.0182339,0.0052655,0.0021482,0.00499205,0.00686606,0.00473677,0.00572908,0.0223461,0.0525746,0.033134,0.00672125,0.00712414,0.00738713,0.00960935,0.00120607,0.000470651,0.00335485,0.0118829,0.0152499,0.0201024,0.0183029,0.00389992,0.000697525,0.00140028,0.00104979,0.000759457,0.00258255,0.0214032,0.0389038,0.0337404,0.00819767,0.0167469,0.0318728,0.00737801,0.00341884,0.00447443,0.00806259,0.0117095,0.0128496,0.0103907,0.00258138,0.000353337,0.000753377
2.972154195,0.00674679,0.0110415,0.0111873,0.0130094,0.0385052,0.0793596,0.0748095,0.0177695,0.0047471,0.00437724,0.00340276,0.010773,0.00702849,0.00308059,0.0110768,0.011672,0.0109395,0.0157998,0.0157893,0.0134637,0.00733719,0.0368092,0.0658941,0.032885,0.00742765,0.0165847,0.0325032,0.0113902,0.0220952,0.0431087,0.055085,0.028496,0.00750203,0.0111393,0.0107796,0.0105856,0.0122339,0.0198058,0.021676,0.00787927,0.0021482,0.00507769,0.00693399,0.00473677,0.00572908,0.0223666,0.0742752,0.0789788,0.033293,0.0104185,0.00738713,0.0113542,0.00385097,0.00147076,0.00335485,0.0118829,0.0152499,0.023711,0.0278276,0.0102773,0.0140963,0.0412096,0.0328192,0.00591399,0.00511196,0.0214032,0.0389038,0.0337404,0.00819767,0.0186325,0.0357896,0.00958593,0.0036806,0.00463601,0.0081855,0.0117198,0.0128638,0.0103907,0.00258138,0.000353337,0.000753377
4.458231293,0.00775795,0.0134128,0.0129179,0.0135998,0.0387526,0.0793703,0.0748095,0.0178482,0.0050191,0.00494456,0.0048783,0.0117414,0.00702849,0.00308086,0.0111034,0.0116785,0.0111418,0.0163808,0.016126,0.0141618,0.00830504,0.0378652,0.0666163,0.0328986,0.00752367,0.0166567,0.0325119,0.0113969,0.0224531,0.043816,0.0570892,0.0311578,0.00847117,0.0111393,0.0107796,0.0105858,0.0122947,0.0204247,0.0234783,0.00983455,0.0030363,0.00515856,0.00703544,0.00480113,0.0057337,0.0223728,0.0742783,0.0789831,0.0342875,0.0123961,0.00830578,0.0113799,0.00385695,0.00147076,0.00335485,0.0121059,0.0162759,0.0249358,0.0282065,0.0103256,0.0141421,0.0412096,0.0328192,0.00591399,0.00511196,0.0214032,0.0410586,0.050612,0.0314245,0.0275447,0.0358017,0.00958803,0.00368639,0.00463791,0.00818603,0.0117252,0.0128676,0.0104299,0.00271859,0.000464183,0.000776616
5.944308390,0.00775889,0.0134128,0.012937,0.0137952,0.0395408,0.0815577,0.0752343,0.0182928,0.00617443,0.00597057,0.00501485,0.0117418,0.00707091,0.00317497,0.0113218,0.0120633,0.0117985,0.0179566,0.0167288,0.0142148,0.00830638,0.0378652,0.0666372,0.033013,0.00816886,0.0176272,0.0326993,0.011763,0.0226314,0.0441636,0.0571933,0.0312298,0.00852601,0.0111793,0.0110785,0.0107662,0.0128843,0.0212479,0.0241023,0.0100233,0.00304798,0.00515856,0.00703547,0.004861,0.00578399,0.0229975,0.0757443,0.0802178,0.0348437,0.0124926,0.00831306,0.0113814,0.00398491,0.00161201,0.00389842,0.0124467,0.0166458,0.0253248,0.0282587,0.010363,0.0141421,0.04121,0.0328227,0.00624475,0.00540675,0.0215238,0.041156,0.0507123,0.032241,0.0305437,0.0403001,0.0102778,0.00384822,0.00469471,0.00820118,0.0117666,0.0131673,0.0118791,0.00275642,0.000480604,0.000784002
7.430385488,0.00778021,0.0135781,0.0131758,0.0139328,0.0399511,0.0827261,0.0757256,0.0183136,0.00617842,0.00597057,0.00504903,0.0121073,0.00807585,0.00393437,0.0124438,0.0126177,0.0120813,0.0179578,0.0167385,0.0143544,0.00923526,0.0407854,0.0684054,0.0334413,0.00838565,0.0179131,0.0333029,0.0118606,0.022632,0.0441636,0.0571933,0.0312497,0.00889202,0.0130682,0.0124996,0.0113498,0.013263,0.0212843,0.0241041,0.0100454,0.00306274,0.00516253,0.00712072,0.00543338,0.00650903,0.0238386,0.0761607,0.0803146,0.0348738,0.0124971,0.00831483,0.0114157,0.00424309,0.00221612,0.004397,0.0131194,0.0171924,0.0258179,0.0283354,0.0103703,0.0141691,0.0414415,0.0343146,0.00779347,0.00624525,0.0217086,0.0414701,0.0508923,0.0322518,0.0305531,0.0403208,0.0102891,0.00390128,0.00497743,0.00834402,0.0118921,0.0134713,0.0121872,0.00365672,0.00221769,0.00104457
8.916462585,0.00779208,0.0135879,0.0131833,0.0140334,0.040473,0.0852838,0.0794027,0.0199855,0.00618727,0.00597173,0.00510592,0.0121073,0.00807585,0.00395202,0.0130835,0.0139831,0.0157672,0.0208161,0.0170725,0.014397,0.00933994,0.0409355,0.0684074,0.0334533,0.00869255,0.0194149,0.0383257,0.0168461,0.0227136,0.0442248,0.0571933,0.0312497,0.00889256,0.0131807,0.0133689,0.0133831,0.0145246,0.0234021,0.024543,0.010122,0.00307037,0.00516253,0.00712072,0.00543706,0.00656947,0.0247795,0.0779214,0.0813067,0.0350413,0.0125126,0.00831483,0.0114157,0.00424752,0.00222626,0.0045282,0.0137864,0.0188851,0.0275377,0.0284142,0.0103787,0.0141691,0.0414415,0.0343146,0.00782311,0.00646301,0.022534,0.0422901,0.0514341,0.0322702,0.030555,0.0403208,0.0102927,0.0039477,0.00526322,0.00915658,0.0124405,0.0142414,0.0133038,0.00402177,0.00224002,0.00105177
10.402539683,0.00870184,0.0144183,0.0132896,0.0140334,0.0556286,0.127881,0.0857319,0.0202937,0.00620891,0.00597173,0.00554955,0.0148479,0.00849097,0.00401165,0.0247564,0.0296372,0.0233786,0.0213516,0.0171837,0.0144091,0.00969852,0.0411569,0.0684074,0.0334533,0.0120874,0.0287224,0.0470856,0.017757,0.0227139,0.0442248,0.0575625,0.032859,0.00910932,0.0131807,0.0168432,0.0336547,0.025847,0.025212,0.0246222,0.010122,0.00412542,0.0113879,0.00777587,0.00543706,0.00737237,0.030283,0.0877534,0.0839569,0.0352429,0.0125126,0.00879458,0.0128743,0.00498221,0.00226456,0.00454948,0.0177256,0.0306846,0.0302663,0.0288341,0.0103787,0.0141766,0.0414534,0.0343154,0.00782311,0.00657609,0.0329931,0.056174,0.0528648,0.0323516,0.030555,0.0405842,0.0106041,0.0041975,0.00526322,0.00919501,0.0188353,0.0324089,0.0150636,0.0040241,0.00224002,0.00197489
11.888616780,0.0108481,0.0146729,0.0132896,0.0140574,0.0557045,0.139149,0.0960191,0.0227471,0.00620891,0.00608869,0.00556784,0.0148479,0.00849097,0.00485899,0.0372941,0.0442374,0.0278002,0.0213839,0.0171837,0.0185465,0.0109144,0.0412458,0.0684074,0.0334533,0.0136883,0.0537936,0.0688317,0.0211486,0.0227139,0.0442248,0.0576126,0.0328668,0.00910932,0.0141832,0.0271528,0.0412987,0.02845,0.025257,0.0246222,0.0150173,0.00722067,0.0117522,0.00777587,0.00565292,0.00908277,0.0515132,0.107714,0.0885602,0.0352603,0.0135667,0.0147828,0.0137848,0.00498221,0.00268148,0.0122179,0.0303581,0.0540904,0.0340732,0.0288341,0.0124146,0.015747,0.0433853,0.0361654,0.00783822,0.0078215,0.0505904,0.0741001,0.0589196,0.032735,0.0305581,0.040808,0.0119107,0.00446372,0.00540182,0.0124816,0.0229867,0.0406143,0.0294681,0.00481281,0.00295177,0.00555612
