BIN 1,BIN 2,BIN 3,BIN 4,BIN 5,BIN 6,BIN 7,BIN 8,BIN 9,BIN 10,BIN 11,BIN 12,BIN 13,BIN 14,BIN 15,BIN 16,BIN 17,BIN 18,BIN 19,BIN 20,BIN 21
-470.081,76.5635,-61.1912,17.0425,-9.06656,-16.9774,14.291,-11.9597,2.89002,2.35737,-13.1603,5.20621,-4.28758,-4.90768,4.31781,-9.27901,2.30681,-0.750059,-1.97141,5.81854,-0.32974
-432.655,46.2484,-38.8257,11.7958,-15.7026,-0.580999,-7.19596,2.08566,-11.8392,10.4038,-9.54416,8.68876,-2.72294,-1.84755,-0.965331,-1.52316,-1.36767,1.42355,1.18047,2.85059,2.7967
-394.501,15.716,-9.61778,-1.19145,-1.16665,-2.82124,-2.38747,2.5872,-6.91159,4.83876,-5.24706,1.17676,1.37736,1.73426,-0.743111,3.25903,-0.0601714,1.6545,-1.24867,0.235507,-0.359792
-389.536,13.684,-8.7001,-5.48022,-2.88406,0.636435,1.82907,2.42581,-4.73474,1.98482,-1.31135,1.26639,-4.33046,1.00928,-1.00792,3.53618,-0.0098841,1.77246,-3.43919,1.69223,-3.34592
-388.088,9.5595,-5.93597,-2.05843,1.00735,2.08241,1.02134,1.55271,-0.00957491,0.884858,-1.72234,0.906956,0.953484,2.59036,-3.07707,3.03765,-4.04374,0.568161,-5.44591,1.80724,-2.68416
-335,49.1346,7.71248,1.46706,8.43093,1.38428,0.86026,3.31715,-1.11037,3.45311,-4.60856,0.186656,-4.82656,0.299163,-0.320786,1.50456,-2.17839,2.68728,0.170263,-2.28613,-5.71245
-378.125,71.4926,-19.6594,13.5463,-7.40735,-1.28777,-2.81254,2.71086,-7.95032,4.2002,-6.31328,-4.64393,4.50334,-6.9078,5.74085,0.279348,1.26963,6.97295,-3.02896,1.84279,-4.33337
-407.654,95.3801,-34.0994,19.3551,-4.60809,-13.3658,12.5562,-13.7903,3.06671,-0.492501,-11.6335,4.91119,-5.71876,-2.47456,2.22095,-3.53347,6.81391,-0.238117,-1.80354,1.91708,-6.8784
-413.58,91.979,-36.4027,21.139,-7.79333,-16.5224,12.7182,-16.0992,1.03736,0.481478,-11.0319,3.23102,-7.53214,-2.77304,2.9966,-3.36863,5.94891,-0.740963,-2.33239,0.999566,-6.24373
-417.223,92.6396,-31.0517,23.5778,-7.13416,-15.3277,13.1637,-15.0522,1.62261,-0.62919,-8.99111,4.67,-8.84698,-2.12741,3.34969,-2.7915,7.07304,-0.388205,-2.6241,0.194031,-5.53271
