TIME,27.7576,30.2811,32.8045,35.3279,37.8513,40.3748,42.8982,45.4216,47.945,50.4684,52.9919,55.5153,58.0387,60.5621,63.0856,65.609,68.1324,70.6558,73.1792,75.7027,78.2261,80.7495,83.2729,85.7964,88.3198,90.8432,93.3666,95.89,98.4135,100.937,103.46,105.984,108.507,111.031,113.554,116.077,118.601,121.124,123.648,126.171,128.695,131.218,133.741,136.265,138.788,141.312,143.835,146.358,148.882,151.405,153.929,156.452,158.976,161.499,164.022,166.546,169.069,171.593,174.116,176.64,179.163,181.686,184.21,186.733,189.257,191.78,194.304,196.827,199.35,201.874,204.397,206.921,209.444,211.967,214.491,217.014,219.538,222.061,224.585,227.108,229.631,232.155,234.678,237.202,239.725,242.249,244.772,247.295,249.819,252.342,254.866,257.389,259.912,262.436,264.959,267.483,270.006,272.53,275.053,277.576,280.1,282.623,285.147,287.67,290.194,292.717,295.24,297.764,300.287,302.811,305.334,307.858,310.381,312.904,315.428,317.951,320.475,322.998,325.521,328.045,330.568,333.092,335.615,338.139,340.662,343.185,345.709,348.232,350.756,353.279,355.803,358.326,360.849,363.373,365.896,368.42,370.943,373.466,375.99,378.513,381.037,383.56,386.084,388.607,391.13,393.654,396.177,398.701,401.224,403.748,406.271,408.794,411.318,413.841,416.365,418.888,421.411,423.935,426.458,428.982,431.505,434.029,436.552,439.075,441.599,444.122,446.646,449.169,451.693,454.216,456.739,459.263,461.786,464.31,466.833,469.357,471.88,474.403,476.927,479.45,481.974
0.000000000,13.9957,15.2318,13.2345,8.88068,1.75837,2.18523,2.0771,15.8316,20.8346,10.3427,5.66797,2.50608,2.75049,11.7491,28.6738,26.9146,12.0983,13.4433,21.5481,25.4506,39.5913,48.8014,47.8821,41.3355,20.4825,36.8788,52.5423,28.1284,23.2843,28.2879,37.3043,31.3226,3.9617,4.94444,17.6452,15.6648,5.10594,32.095,195.402,400.318,355.902,119.668,4.42709,40.1974,51.3418,9.90676,17.1553,33.0908,10.4589,4.93026,16.7219,15.6121,5.86842,5.87444,6.69985,0.367573,7.14661,14.8687,14.759,24.2979,20.3098,7.39975,8.89042,4.32622,17.6989,36.9059,21.4451,8.22693,8.09863,6.7045,21.6988,42.4163,35.0893,26.8236,25.492,5.29095,20.5183,53.9969,38.1176,37.2853,69.7082,64.5811,27.0773,4.13331,20.2908,64.4465,65.7186,41.4066,158.426,400.802,415.557,143.572,0.243393,47.675,50.5238,23.8598,24.2615,67.0903,102.14,46.9465,62.3835,122.146,41.3658,5.86263,54.4617,33.2236,21.4249,22.7877,2.21736,11.3711,19.1524,18.3712,23.6311,18.9335,10.1595,1.7477,1.50548,6.75067,3.48804,0.381155,1.7765,5.55979,5.22254,6.44351,7.1077,1.52223,20.704,35.5831,33.8527,63.6786,83.737,81.0266,71.1157,34.2164,59.6645,140.552,114.765,62.6432,103.383,122.157,98.592,85.2769,54.8235,16.2464,16.8585,31.2246,11.6124,8.37248,31.4487,17.6508,14.1287,51.4921,49.4082,11.7646,1.26726,18.9834,22.4789,5.5176,0.106882,1.68563,7.50648,15.7937,12.0156,8.31739,4.12769,0.326516,11.0444,15.765,10.6159,11.4418,4.00021,1.37427,5.89222,4.56265,13.3677,16.6566,7.69297,7.08695,14.948,26.7548,42.8273
1.486077098,28.765,40.9854,37.6862,24.2867,8.51028,5.43081,1.18255,27.5288,26.8609,7.91747,6.79651,1.28923,2.31651,10.7585,36.5801,30.2049,9.03978,11.7191,22.1549,22.215,40.3494,53.8992,42.7467,50.0692,12.7485,41.0536,67.2905,21.7839,23.8919,27.2924,38.9852,51.0503,10.1256,12.7217,33.7181,24.6655,4.54804,32.6073,287.374,623.249,517.753,151.847,0.527098,54.0847,76.1999,7.56762,23.5138,47.626,10.2809,4.38235,21.6298,21.6918,12.6597,13.4395,13.0047,2.7353,12.2214,18.6287,11.328,29.5297,25.1415,3.8487,11.4427,2.2512,22.0949,51.0055,20.1139,6.61141,7.56388,4.33368,22.5124,51.5907,35.4626,23.0537,31.8323,4.10302,25.0494,73.8912,34.351,33.7945,84.9131,77.1118,30.9783,1.59373,20.8941,88.6923,103.288,21.9337,205.302,673.497,704.569,229.274,8.20145,76.4734,54.4519,19.0213,19.68,68.2518,142.949,42.0516,62.064,196.391,74.7795,19.1774,90.0165,32.0246,19.6901,36.989,1.0303,17.6085,18.7162,17.3173,27.0507,20.7157,10.9747,3.13688,2.59721,12.743,6.78513,0.0475745,3.87211,11.0297,4.63873,6.78567,11.1736,0.105108,29.213,44.0552,24.2419,75.8279,89.9198,79.8379,82.0602,26.927,55.8525,189.596,144.584,42.5958,140.741,223.947,188.901,142.62,92.5807,41.7896,41.8429,58.6431,28.5388,24.4251,55.8789,20.0782,11.7481,74.3002,68.167,14.9407,2.01846,26.8328,33.9927,8.36889,0.761805,1.0372,8.57778,21.878,10.9291,8.80648,6.09915,1.19611,16.5475,20.837,7.67261,15.6229,9.5451,5.39654,9.52766,1.89363,19.2149,26.1103,13.6811,11.2578,16.9575,29.0944,45.5909
2.972154195,50.5272,91.3625,82.9812,45.7573,18.6489,12.8299,4.76526,51.7816,32.4324,4.8448,8.01648,0.774211,0.732951,10.1882,37.4818,36.6474,3.18614,9.40681,20.9599,15.8457,40.2191,52.2988,31.587,54.0255,7.0125,44.574,79.7068,12.5935,22.6867,23.0414,34.385,72.9597,26.1627,29.946,59.6171,29.3372,4.47513,27.2552,397.4,846.554,626.996,190.546,6.04563,62.2734,100.15,17.1268,41.6739,56.9389,10.0232,3.26591,30.8321,20.8434,20.1704,30.467,22.4281,5.06721,15.4629,26.6036,3.62008,39.1987,24.1013,2.21255,10.0661,5.43476,33.0885,74.0489,9.51468,7.38146,7.29815,1.62526,30.528,45.5129,38.0273,11.0794,42.7307,6.44697,31.3609,87.3206,30.8707,27.8071,95.4196,72.5246,37.9899,0.115019,18.9994,100.704,159.661,5.91314,273.376,960.623,1018.17,355.591,44.0427,101.5,54.3561,9.81481,16.6658,56.7127,191.631,41.2936,68.5075,272.092,138.911,59.0519,125.925,32.998,17.5918,59.4248,8.12928,27.9745,13.1458,16.7051,23.5014,23.0068,7.80938,6.06066,8.06763,24.4683,8.72643,0.345594,5.79406,23.7309,5.93752,11.9285,16.4069,0.994377,31.1619,60.3515,6.76691,97.2764,71.4471,77.0633,73.5757,24.5752,44.9852,243.325,154.49,21.5381,160.038,353.449,310.945,178.758,123.346,93.4128,85.0541,75.8225,51.9567,61.8687,91.9513,18.8213,9.84138,96.5719,90.7731,13.4794,3.39206,39.1309,44.6295,10.6867,2.17297,1.30146,9.64622,32.2516,5.61712,11.3632,5.77151,2.5831,25.9619,25.9286,3.62481,18.4441,16.4287,14.6842,18.2877,0.456157,28.5569,29.9368,21.8065,16.18,13.9572,30.4117,38.5784
4.458231293,67.8428,167.033,166.605,69.4589,20.3503,25.9815,25.4618,103.967,39.3071,6.83909,8.65244,0.740832,0.1054,10.7445,28.1645,49.0449,0.839074,16.0147,23.8462,19.5501,61.9738,38.4111,34.16,33.4947,15.1971,65.3643,89.0611,6.08097,9.90441,31.3313,23.3314,117.081,36.4976,39.5456,112.073,41.5462,4.05688,17.3666,582.734,979.448,630.127,252.227,19.5507,53.4288,127.478,42.4557,68.39,67.5611,5.7086,3.24425,49.7839,15.2777,27.5009,71.2489,39.005,2.59789,21.8625,43.0833,1.23169,43.3755,23.6993,0.139482,7.3762,10.266,50.7926,141.918,1.38664,30.9787,26.9059,19.9767,70.1991,13.2801,63.7056,2.78869,60.2951,8.02455,33.2523,105.019,22.9752,19.8947,106.345,48.447,50.3865,7.89244,15.1293,104.607,244.366,18.7602,346.82,1185.83,1290.39,485.258,111.265,127.003,40.1066,3.31415,19.3062,33.593,273.367,53.422,80.0625,305.071,266.048,141.889,125.982,44.3906,23.2842,109.237,26.2152,26.9435,13.8477,11.7775,23.3717,21.2022,10.0325,12.297,36.1121,60.584,4.66786,2.35682,13.5819,61.4957,18.3978,28.1624,20.7318,2.50419,29.6552,78.4523,0.68748,134.835,39.0955,84.1997,43.1999,32.8881,47.2999,303.057,129.465,8.62947,169.902,494.038,412.844,203.273,120.6,163.864,174.537,70.5129,65.8009,157.82,159.519,6.12812,1.90409,146.256,114.747,6.50937,13.1729,51.1356,46.6964,17.1207,2.82631,1.5503,8.97226,56.1176,2.68919,24.0604,1.8203,6.91152,49.8616,27.3178,2.29589,15.9469,25.9875,28.3309,30.7635,6.52714,47.2419,23.2454,30.7396,29.6046,4.71963,40.4656,19.468
5.944308390,77.7477,260.038,287.32,102.258,11.0095,47.8937,83.345,197.252,60.6829,16.9224,7.94015,0.451075,0.49328,13.0851,13.971,62.7777,21.4312,46.2773,57.3923,69.5711,136.446,45.7973,60.5739,4.57801,50.0021,133.513,111.466,6.67497,2.02879,59.4936,36.6551,195.654,40.9063,36.1418,204.594,99.7123,27.9278,54.8258,889.417,969.37,529.762,350.483,31.3569,39.4156,155.321,69.2319,97.7335,89.0798,0.292103,11.197,84.135,16.8415,44.3734,140.344,74.8685,1.75258,40.3504,79.0935,15.1847,40.9065,21.0833,2.98363,7.1794,10.9767,89.1781,286.882,65.7104,130.347,130.645,131,178.139,5.13526,135.141,34.7217,84.1495,4.14239,43.9426,121.902,14.106,12.597,117.952,21.882,65.8706,38.8218,19.2321,121.366,365.284,77.5723,385.792,1284.63,1474.09,551.213,193.789,164.269,14.385,6.78422,33.1735,32.3335,403.966,104.701,77.8681,297.801,453.908,268.973,95.6198,58.6662,62.333,204.955,66.7724,12.475,24.0283,15.8647,42.4845,29.9038,43.6152,48.0623,130.316,153.739,17.4037,23.8,56.7483,146.552,58.4618,52.1122,20.977,5.05481,24.3348,90.8969,26.7225,200.909,23.0668,106.281,13.9374,48.931,84.8441,362.653,83.072,8.44391,182.518,644.383,431.148,218.362,84.0914,231.421,342.251,73.2875,87.4718,367.875,294.609,6.37696,12.4263,250.615,154.752,3.48935,40.6594,57.7141,38.3782,31.7758,3.49584,1.97579,12.289,101.892,26.1206,58.6117,7.62127,27.4396,97.1588,29.29,3.57471,9.60503,40.5462,40.2024,40.5945,25.4192,80.8855,14.7639,45.1692,61.6771,7.03578,64.6984,10.5313
7.430385488,81.4261,351.685,424.171,150.008,0.833338,84.3739,191.194,330.041,111.625,36.092,8.15993,0.0388183,1.77422,19.2061,3.06229,78.4994,80.5296,115.645,155.043,201.824,288.938,124.4,122.401,9.81731,128.288,266.943,170.864,25.8015,23.7066,114,105.965,307.922,57.9493,35.8,350.538,243.219,118.978,207.988,1283.24,878.839,370.727,497.32,44.2025,41.465,175.938,81.731,126.866,123.866,4.74325,36.3901,133.016,38.9867,79.3901,232.045,135.725,15.8319,81.6059,140.205,56.0004,37.4791,18.2356,19.0242,14.3717,15.0765,173.625,522.85,281.14,365.105,391.356,410.414,396.156,101.921,276.428,140.331,125.599,0.115878,73.4266,138.168,6.65645,11.4362,130.62,10.8984,83.4335,95.4558,46.0127,180.476,517.973,176.693,361.02,1243.99,1514.26,531.088,259.875,215.206,0.92495,28.8641,69.8086,99.8956,580.383,213.36,58.9755,276.809,665.131,423.602,62.337,74.9361,156.1,351.392,143.898,3.3751,49.07,54.8803,98.4999,81.5965,140.484,155.894,328.92,331.927,88.7236,93.5529,165.954,289.562,141.636,81.3785,15.7011,9.1946,14.9682,97.7349,98.0639,292.766,60.9085,145.624,9.33014,73.8602,155.304,406.023,50.6228,18.6745,231.406,778.984,356.498,220.856,37.3243,296.295,589.555,144.996,173.07,715.017,532.836,67.9141,84.4142,416.997,231.163,20.5434,88.5743,61.157,25.0631,55.9515,9.53775,6.97651,31.3331,174.69,99.3166,124.877,43.6889,78.9025,169.121,43.946,7.75573,6.38508,59.01,44.8829,44.5736,58.2237,128.308,22.5196,74.8391,121.993,44.2589,107.298,35.1384
8.916462585,80.2955,424.285,538.05,209.845,5.658,138.768,340.318,481.662,192.348,63.1514,12.3344,0.501186,5.1137,30.8365,3.26671,97.9218,172.437,231.786,332.149,423.315,510.151,295.78,231.63,86.6435,260.047,450.959,274.933,75.1718,89.246,199.125,237.828,433.088,105.638,63.4078,546.172,494.928,306.321,490.538,1655.43,818.283,245.495,689.05,71.5911,70.7183,181.336,76.4336,143.25,174.612,31.6345,82.7227,183.129,85.3862,137.158,328.881,210.612,54.7765,148.521,223.48,121.993,42.1588,20.9522,51.8702,35.3878,36.8803,313.466,832.978,666.784,749.478,823.998,872.348,742.525,350.491,488.538,321.395,196.915,10.814,126.155,149.812,4.59861,17.7192,144.509,27.898,105.746,157.407,101.443,301.249,693.107,279.008,280.104,1076.91,1403.68,435.254,283.965,281.622,22.7648,74.1071,134.842,251.644,787.801,371.49,37.445,267.735,839.058,579.713,54.8165,99.9889,295.965,531.094,264.259,24.8147,96.515,140.61,198.614,200.086,317.833,361.907,623.592,590.207,247.403,231.5,346.95,473.047,265.523,115.013,7.9449,15.3434,5.27158,102.674,207.564,398.491,159.937,196.11,45.2333,110.808,232.98,412.468,64.0518,42.8788,349.508,855.367,234.579,202.126,16.4206,362.906,893.18,328.577,366.478,1152.03,876.463,229.261,244.281,621.959,348.131,70.3655,149.839,66.2822,16.8363,86.8528,26.6626,21.9681,73.6943,270.625,225.549,221.862,118.913,164.918,258.63,78.5127,16.5312,12.8036,78.5911,41.3529,41.9439,100.806,180.946,57.4774,125.968,212.798,128.62,168.691,97.5947
10.402539683,79.7693,460.551,588.789,269.865,37.8569,207.879,489.388,618.375,289.181,91.281,20.1632,3.02457,12.6416,49.3312,18.8926,118.188,268.274,387.193,567.018,690.86,751.083,531.256,386.289,240.019,431.986,639.328,402.915,157.7,192.419,304.834,397.874,544.703,186.762,136.47,753.316,824.889,586.433,842.144,1870.22,862.689,256.856,889.851,130.358,116.619,172.931,55.2725,142.549,230.062,90.4173,145.021,213.586,144.39,217.948,400.921,272.832,120.756,235.946,306.709,195.64,63.716,37.0998,95.5481,70.7002,85.5955,492.537,1158.54,1143.51,1227.25,1357.12,1423.95,1175.31,728.644,742.103,530.232,293.634,54.8409,196.287,154.451,7.43956,26.5242,160.751,74.4003,127.824,199.652,178.726,473.548,861.262,348.558,174.774,828.51,1175.86,305.672,267.088,350.754,84.5866,139.606,226.118,453.422,986.316,548.894,35.9058,276.56,920.724,704.22,88.6054,135.75,445.161,707.945,409.127,91.9288,170.205,261.178,324.633,375.454,563.092,652.73,939.247,873.987,490.434,431.866,557.752,651.185,410.372,149.757,3.46855,21.9081,1.20205,110.311,326.925,493.577,292.493,250.17,111.848,155.174,286.3,373.54,126.895,92.616,537.991,848.392,122.16,161.081,40.942,451.233,1189.59,606.508,655.616,1580.53,1263.22,485.179,476.598,813.762,482.151,154.076,208.135,75.4875,20.8033,119.836,57.5543,47.9643,132.021,374.171,384.339,330.115,217.231,273.591,350.927,127.027,31.0041,30.453,95.8528,32.6284,35.5053,141.811,228.363,113.094,192.998,324.217,250.76,236.639,177.318
11.888616780,80.6806,454.029,556.115,309.115,100.064,275.784,586.111,705.124,371.997,115.077,27.5522,8.00691,26.39,73.6784,47.1923,131.401,336.28,552.379,793.682,928.27,941.434,756.968,563.157,428.968,604.141,777.19,510.549,257.554,306.795,409.134,523.815,618.471,281.085,241.849,932.374,1139.56,892.463,1168.05,1823.11,1008.51,460.969,1041.38,214.809,163.703,155.373,29.0688,119.451,279.68,178.246,202.277,215.959,192.363,303.591,430.288,291.769,203.585,325.425,359.187,254.607,102.678,68.3416,135.621,114.327,157.505,666.047,1419.48,1553.84,1677.36,1851.79,1889.69,1594.86,1140.96,970.814,698.162,393.286,136.509,264.578,155.62,10.4914,32.5293,183.127,129.904,143.848,205.831,253.982,664.073,972.173,368.022,78.4731,577.407,871.638,204.692,238.542,392.5,165.167,223.773,324.631,619.426,1146.66,687.983,70.1601,292.99,881.681,767.747,155.815,176.426,553.067,840.231,535.966,194.357,264.089,382.04,440.772,562.285,823.249,963.765,1172.01,1097.7,766.574,654.324,726.814,769.368,540.792,180.13,5.94588,27.0357,6.72848,123.498,415.52,554.984,401.657,301.093,178.643,195.283,295.54,294.985,214.792,183.579,737.182,779.762,49.5195,109.926,102.795,579.261,1395.69,882.783,989.103,1876.53,1564.88,791.998,724.53,920.699,597.998,252.936,241.673,90.5885,38.0576,143.543,100.907,81.0375,184.813,462.486,534.21,416.292,306.879,378.84,422.243,174.887,49.1785,54.2585,109.154,23.1074,29.3073,166.202,263.428,165.69,259.408,435.308,373.139,296.264,241.588
